field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-1,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-1,enrichment_3-2,enrichment_3-3,enrichment_3-4,enrichment_4-1,enrichment_4-2,enrichment_4-3,enrichment_4-4
CD a_1,0.0,0.0,0.0,0.0,0.0,-0.18349979952583345,-0.9844443158906343,-0.6684570159097267,0.0,-0.9844443158906343,1.1691155591367652,-0.5731032952915297,0.0,-0.6684570159097267,-0.5731032952915297,0.12143106096116092
CD a_10,0.0,0.0,0.0,0.0,0.0,-0.021452777805498608,-2.142634679318065,-0.395874255280767,0.0,-2.142634679318065,1.6522418244267043,-0.7237443235420856,0.0,-0.395874255280767,-0.7237443235420856,0.09991357673101671
CD a_11,0.0,0.0,0.0,0.0,0.0,-0.06052061932862994,1.987444520227113,-0.9499723882187339,0.0,1.987444520227113,1.7203691619566057,-0.5036623317979952,0.0,-0.9499723882187339,-0.5036623317979952,0.051437200728545004
CD a_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2155894110212362,-0.36312669549043514,0.0,0.0,-0.36312669549043514,0.05295779007973138
CD a_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1701390421181177,-0.08700107794647474,0.0,0.0,-0.08700107794647474,0.0002279700821004508
CD a_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5659243864089758,-0.6473689751678977,0.0,0.0,-0.6473689751678977,0.0838551825499298
CD a_15,0.0,0.0,0.0,0.0,0.0,-0.017780352645144125,1.1028152328824479,-1.04987711295713,0.0,1.1028152328824479,2.992261945582653,-0.459100605315801,0.0,-1.04987711295713,-0.459100605315801,0.014013547985529387
CD a_16,0.0,0.0,0.0,0.0,0.0,-0.08789791534578252,-0.3234068118054937,0.20636652041269898,0.0,-0.3234068118054937,3.7511935478119107,-0.579313512890089,0.0,0.20636652041269898,-0.579313512890089,0.005135155339723529
CD a_17,0.0,0.0,0.0,0.0,0.0,-0.4207111345103518,-2.6563894980679916,-0.7218743894512009,0.0,-2.6563894980679916,2.9787565513693006,-0.11565162158533916,0.0,-0.7218743894512009,-0.11565162158533916,-0.016156111371067344
CD a_18,0.0,0.0,0.0,0.0,0.0,-0.14526278986645022,-2.1457222328489722,-0.7413291738566269,0.0,-2.1457222328489722,2.501980922332804,-0.1576381499792149,0.0,-0.7413291738566269,-0.1576381499792149,-0.005593992726959689
