field_of_view,enrichment_1-1,enrichment_1-2,enrichment_1-3,enrichment_1-4,enrichment_2-2,enrichment_2-3,enrichment_2-4,enrichment_3-3,enrichment_3-4,enrichment_4-4,Disease/Health State
CD a_1,0.0,0.0,0.0,0.0,-0.1834997995258334,-0.9844443158906344,-0.6684570159097267,1.1691155591367652,-0.5731032952915297,0.1214310609611609,CD a
CD a_10,0.0,0.0,0.0,0.0,-0.0214527778054986,-2.142634679318065,-0.395874255280767,1.6522418244267043,-0.7237443235420856,0.0999135767310167,CD a
CD a_11,0.0,0.0,0.0,0.0,-0.0605206193286299,1.987444520227113,-0.949972388218734,1.7203691619566055,-0.5036623317979952,0.051437200728545,CD a
CD a_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2155894110212362,-0.3631266954904351,0.0529577900797313,CD a
CD a_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1701390421181177,-0.0870010779464747,0.0002279700821004,CD a
CD a_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5659243864089758,-0.6473689751678977,0.0838551825499298,CD a
CD a_15,0.0,0.0,0.0,0.0,-0.0177803526451441,1.102815232882448,-1.04987711295713,2.992261945582653,-0.459100605315801,0.0140135479855293,CD a
CD a_16,0.0,0.0,0.0,0.0,-0.0878979153457825,-0.3234068118054937,0.2063665204126989,3.751193547811911,-0.579313512890089,0.0051351553397235,CD a
CD a_17,0.0,0.0,0.0,0.0,-0.4207111345103518,-2.656389498067992,-0.7218743894512009,2.9787565513693006,-0.1156516215853391,-0.0161561113710673,CD a
CD a_18,0.0,0.0,0.0,0.0,-0.1452627898664502,-2.145722232848972,-0.7413291738566269,2.501980922332804,-0.1576381499792149,-0.0055939927269596,CD a
CD a_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3547555922846044,-0.42431419626147,0.2981346739867861,CD a
CD a_2,0.0,0.0,0.0,0.0,0.6163130947787963,-0.0232456941635893,-0.1237815517431555,-0.4487716975587248,-0.4422463551626593,0.0139146323403525,CD a
CD a_3,0.0,0.0,0.0,0.0,0.1234252345530817,-0.0735624496266051,0.0841107096221217,-0.4221084060634867,-0.6442959615803684,0.0027246606830771,CD a
CD a_4,0.0,0.0,0.0,0.0,-0.0500924687622999,0.3488806096199242,-0.2884048978051216,0.8706366375020589,-0.5845360315630025,0.1812922054791943,CD a
CD a_5,0.0,0.0,0.0,0.0,0.84601162138244,0.8106774621988377,0.1043924735962452,-0.1340874329460471,0.0977125212134821,-0.0162026734986526,CD a
CD a_6,0.0,0.0,0.0,0.0,-0.3230929922895317,-3.148250419171385,-0.2100113756422875,3.154385327235169,0.0887945038829815,-0.0197438530982153,CD a
CD a_7,0.0,0.0,0.0,0.0,-0.287926209774507,-1.4172119090824236,-1.350898247505345,1.2953448781467227,-0.4749493351899667,0.0747392011575675,CD a
CD a_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8595878789310669,-0.5194121747793495,0.152707349799168,CD a
CD a_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.942474139588914,-0.4953642020480261,0.0386776790731814,CD a
CD b_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_11,-0.008977859648667,0.0,-1.204552453025416,0.1301368406348762,0.0,0.0,0.0,2.5538425589668368,-0.3680714874987593,0.0142842591810942,CD b
CD b_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.621177158202817,-0.2587410225735027,0.0033881083605174,CD b
CD b_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0647686604794937,-0.5628114070399918,0.0199971005670088,CD b
CD b_14,-0.0078400757123172,0.0,-1.282806482404408,-0.0183161817762979,0.0,0.0,0.0,2.776279908098795,-0.5834989196146032,0.026974057984393,CD b
CD b_15,-0.061767029244236,0.0,-1.3967544783629957,0.0816301256733467,0.0,0.0,0.0,4.271743530893105,-0.7143852769065877,0.0117082581209967,CD b
CD b_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_17,-0.1202414106671605,-0.0310128471257547,-0.0613730328999871,-0.3244794654607197,-0.0078159353951867,-0.0155897552911394,-0.8834941259301753,-0.0310128471257547,-0.4065271040528311,0.0010536521089585,CD b
CD b_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_3,-0.0076921265443958,0.0,-0.0076921265443958,0.0440468478915066,0.0,0.0,0.0,-0.0076921265443958,-0.7633080741660974,0.0002327828925005,CD b
CD b_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0100614002798386,-0.888109978599866,0.0004200570296515,CD b
CD b_5,-0.0110745969301838,0.0,0.0,-0.3594407402099281,0.0,0.0,0.0,0.0,0.0,0.0002321472852331,CD b
CD b_6,-0.0329755491962243,0.0,0.0,-0.0122190254722252,0.0,0.0,0.0,0.0,0.0,1.1440891185117998e-05,CD b
CD b_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD b_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CD b
CD c_1,2.94762468110168,0.0,-1.0219528283158297,0.1757198323516024,0.0,0.0,0.0,1.9147790982800963,-0.748969795623566,0.0152285829460853,CD c
CD c_10,1.916314359062598,0.0,-4.041069355170048,0.2156277931179272,0.0,0.0,0.0,2.283945023875391,-0.9863476879083112,0.0841418002700595,CD c
CD c_11,2.72183444061632,0.0,-2.115673641782304,0.159542239516314,0.0,0.0,0.0,1.916619245591302,-0.8345002113213733,0.0877713810321599,CD c
CD c_12,2.659488236541168,0.0,-3.345629652115008,0.047279923384666,0.0,0.0,0.0,2.402740743454775,-0.4756447656852159,0.0140013763383849,CD c
CD c_13,1.870689478305828,0.0,-4.717048488796121,0.1524322317877185,0.0,0.0,0.0,2.379612136742322,-1.1201897708353798,0.092769288964623,CD c
CD c_14,1.6886467839554231,0.0,-3.1365339261760434,-0.0049737281409276,0.0,0.0,0.0,2.1778491064705507,-0.905635304752763,0.0773998324972334,CD c
CD c_15,-0.0214314161539674,0.0,-1.975754255403237,0.5980958586316188,0.0,0.0,0.0,1.958878388013268,-0.8165245439753572,0.0889191223764437,CD c
CD c_17,2.813440255659477,0.0,-1.8912601549880204,0.0669270843810611,0.0,0.0,0.0,2.8421820927514343,-0.5757091629795147,0.0129558630567141,CD c
CD c_2,1.336405565299736,0.0,-4.0091948917051,0.1560443544526841,0.0,0.0,0.0,1.995592591733517,-0.643515272606957,0.0234600435443105,CD c
CD c_3,-0.0108918370245163,0.0,-0.6352527231103586,-0.1866217328024848,0.0,0.0,0.0,3.283623819847089,-0.7050950791858788,0.0188562238055284,CD c
CD c_4,5.1524079755327215,0.0,-1.6874597301636656,0.1217028273864193,0.0,0.0,0.0,-0.3619296383899945,-0.2207947177761771,-0.0011804348069544,CD c
CD c_5,2.1857366542567505,0.0,-2.721045000105207,-0.0119051052221009,0.0,0.0,0.0,1.7097115068611584,-0.6408102529962747,0.047773633692937,CD c
CD c_6,-0.1936802752046266,0.0,-0.8149431908941135,0.3750042697494574,0.0,0.0,0.0,1.203982476658383,-0.4838761034065577,0.0725253889964725,CD c
CD c_7,-0.7111758363527991,0.0,-1.6583808148820918,0.2480616738312993,0.0,0.0,0.0,1.7525076003004925,-0.6556379012310855,0.06818356080042,CD c
CD c_8,2.0699912313303783,0.0,-1.0270518519968812,0.1180109657920768,0.0,0.0,0.0,1.782803583343037,-0.5592330687366889,0.0324289125483093,CD c
CD c_9,-0.5062778252271113,0.0,-1.13373545458235,0.2175436755370046,0.0,0.0,0.0,2.6746412245981026,-0.603942017178308,0.0262513059706796,CD c
HC a_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3609514789352013,-0.3414483393430639,0.0402325244454189,HC a
HC a_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0227618809150094,-0.3568126352611077,0.0207481427324693,HC a
HC a_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4616135729853568,-0.484992403834778,0.0592516920069518,HC a
HC a_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8663389745841155,-0.5563155653973088,0.121036478187409,HC a
HC a_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3926826601167557,-0.6350062361606306,0.0818141146406379,HC a
HC a_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1178643357513285,-0.4311074805535462,0.0714600032499849,HC a
HC a_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.244401861332069,-0.5510184774108745,0.0890569211391581,HC a
HC a_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6849333253966203,-0.4716907286124504,0.049687918289324,HC a
HC a_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9030776137217594,-0.5144472304793223,0.1398521260278859,HC a
HC a_19,0.0,0.0,0.0,0.0,-0.0162795128114994,-2.9160558707817987,-0.2009925982262241,1.0035918331399425,-0.61823563133969,0.1558798349249729,HC a
HC a_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0972770983436817,-0.6424205248611846,0.1546266025712283,HC a
HC a_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136006522501628,-0.5718107516646849,0.189457397123073,HC a
HC a_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0014514226366245,-0.4376799729783001,0.0924507051466079,HC a
HC a_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.203954510611549,-0.8260549510379532,0.0655095924964809,HC a
HC a_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9853587333006708,-0.376204465528817,0.0690664125435212,HC a
HC a_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4103625756245353,-0.3415094715406986,0.0345765395577469,HC a
HC a_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2744137623577048,-0.3862167215026968,0.0406476679122756,HC a
HC a_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.403251116979813,-0.4837799075354209,0.069111916491796,HC a
HC a_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2148372966315333,-0.5573635255877448,0.035207585771326,HC a
HC b_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4440709364412645,-0.9066563327785097,0.1703197673195977,HC b
HC b_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9556789615726684,-0.7379324719067314,0.2272814942843015,HC b
