field_of_view,Niche_0,Niche_1,Niche_2,Niche_3,Disease/Health State
CD a_1,20.72326583694641,6.455197927340361,1.5243282331206716,0.2476150785739281,CD
CD a_10,20.72326583694641,7.173190438487542,1.7438461078128595,0.1931158007118119,CD
CD a_11,20.72326583694641,6.875231119277113,2.3922295243248404,0.0970161785475469,CD
CD a_12,20.72326583694641,20.72326583694641,1.9165038449097769,0.1591369112661319,CD
CD a_13,20.72326583694641,20.72326583694641,2.475088482224597,0.0879087340302216,CD
CD a_14,20.72326583694641,20.72326583694641,1.6314168140417644,0.2177234826016273,CD
CD a_15,20.72326583694641,7.160844618665193,3.695109963614573,0.0259550540721199,CD
CD a_16,20.72326583694641,5.811140658976758,4.424846548356815,0.015083241196131,CD
CD a_17,20.72326583694641,5.6577382496548525,2.906203204825612,0.0599340506434476,CD
CD a_18,20.72326583694641,6.300173442085322,2.824075280071206,0.0631522924275577,CD
CD a_19,20.72326583694641,20.72326583694641,0.807888021249819,0.5902270984493229,CD
CD a_2,20.72326583694641,3.0942839252110605,5.222515467731777,0.0520316570401939,CD
CD a_3,20.72326583694641,4.043051210834553,5.221706078926224,0.0232092318868898,CD
CD a_4,20.72326583694641,7.135287923098471,1.2787856133315003,0.3273542335104207,CD
CD a_5,20.72326583694641,2.9807076672021395,5.925146291737075,0.0549085753400512,CD
CD a_6,20.72326583694641,4.310799050885517,3.260976974811837,0.0531621223234597,CD
CD a_7,20.72326583694641,6.1273053118195175,1.603345634487216,0.2274084151815611,CD
CD a_8,20.72326583694641,20.72326583694641,1.257259990839638,0.3346790721501691,CD
CD a_9,20.72326583694641,20.72326583694641,2.1520959544638845,0.1235700473633204,CD
CD b_10,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_11,8.294545513151949,20.72326583694641,2.9522152440305427,0.0539006507133865,CD
CD b_12,20.72326583694641,20.72326583694641,4.787260114532381,0.0083701943369248,CD
CD b_13,20.72326583694641,20.72326583694641,3.080916358949596,0.0470047756259814,CD
CD b_14,8.461041303804878,20.72326583694641,2.888891980642089,0.0574695651048134,CD
CD b_15,7.535472780888226,20.72326583694641,3.915588021414072,0.0206748927100662,CD
CD b_16,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_17,7.114158277042887,8.50044895042411,7.807304228355099,0.0014246456219476,CD
CD b_18,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_19,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_2,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_20,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_3,8.495964659976794,20.72326583694641,8.495964659976794,0.0004086626750784,CD
CD b_4,20.72326583694641,20.72326583694641,8.100461595034883,0.0003034430924512,CD
CD b_5,7.961367333723634,20.72326583694641,20.72326583694641,0.0003487348357924,CD
CD b_6,7.707959305837972,20.72326583694641,20.72326583694641,0.0004493362347,CD
CD b_7,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_8,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD b_9,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,CD
CD c_1,5.648703061645443,20.72326583694641,4.206319450688444,0.0185950111161523,CD
CD c_10,4.990432439778758,20.72326583694641,2.365074090876812,0.1061887017634325,CD
CD c_11,4.743191369085476,20.72326583694641,2.292186375876596,0.1162598049925743,CD
CD c_12,4.856317805161916,20.72326583694641,3.826698470620028,0.0300061980498095,CD
CD c_13,4.082271921707836,20.72326583694641,2.340636888554496,0.1200629595189469,CD
CD c_14,4.033743291899492,20.72326583694641,2.590134517323963,0.0973018144929128,CD
CD c_15,7.396946971622351,20.72326583694641,2.118833935069069,0.1287255803240702,CD
CD c_17,6.379274130477605,20.72326583694641,4.110591117676308,0.0182601354429788,CD
CD c_2,5.129091334929933,20.72326583694641,3.6250140694920185,0.033112888774688,CD
CD c_3,8.085175502079931,20.72326583694641,3.794719262460395,0.0230611642964686,CD
CD c_4,5.093311729740579,20.72326583694641,4.841997337666017,0.0141282693108436,CD
CD c_5,6.95224947336926,20.72326583694641,2.91800986221187,0.0565678200626222,CD
CD c_6,6.520988569056748,20.72326583694641,2.1547109619753178,0.1248932727058606,CD
CD c_7,5.908686252428163,20.72326583694641,2.4088177003602995,0.0972130138958839,CD
CD c_8,6.484939877339092,20.72326583694641,3.196538620574288,0.043356235737972,CD
CD c_9,6.151135206216737,20.72326583694641,3.233364918017475,0.0424438015926183,CD
HC a_1,20.72326583694641,20.72326583694641,2.11609902422515,0.128402603346833,HC
HC a_10,20.72326583694641,20.72326583694641,3.0011719767407192,0.051007810152998,HC
HC a_11,20.72326583694641,20.72326583694641,2.2947419056111453,0.1062357881245974,HC
HC a_12,20.72326583694641,20.72326583694641,1.893950403479033,0.1630793093944296,HC
HC a_13,20.72326583694641,20.72326583694641,2.31830249873104,0.1036292871091004,HC
HC a_14,20.72326583694641,20.72326583694641,2.0493599657467154,0.1379035912950586,HC
HC a_15,20.72326583694641,20.72326583694641,2.0557794275374914,0.1369578658765002,HC
HC a_16,20.72326583694641,20.72326583694641,2.2175174723033897,0.1152751333350976,HC
HC a_18,20.72326583694641,20.72326583694641,1.461238264398108,0.2638989865771041,HC
HC a_19,20.72326583694641,7.553808944010152,1.1959685821933732,0.360876629357846,HC
HC a_2,20.72326583694641,20.72326583694641,1.3988668133452038,0.2835261346294344,HC
HC a_20,20.72326583694641,20.72326583694641,1.2606681444747037,0.3333275785461369,HC
HC a_3,20.72326583694641,20.72326583694641,1.7316147573059275,0.1947970949274834,HC
HC a_4,20.72326583694641,20.72326583694641,2.608843537435429,0.0764703629123677,HC
HC a_5,20.72326583694641,20.72326583694641,1.9550011136926388,0.1526435193717774,HC
HC a_6,20.72326583694641,20.72326583694641,2.511942766940808,0.084589408970953,HC
HC a_7,20.72326583694641,20.72326583694641,2.597614196979377,0.0773681930972819,HC
HC a_8,20.72326583694641,20.72326583694641,1.9737380244805232,0.1495870654974086,HC
HC a_9,20.72326583694641,20.72326583694641,2.9156895474189177,0.05568890480332,HC
HC b_1,20.72326583694641,20.72326583694641,1.6259487688141356,0.2190580809074796,HC
HC b_10,20.72326583694641,20.72326583694641,1.2021352606232747,0.3574634946291214,HC
HC b_11,20.72326583694641,20.72326583694641,0.842788267558394,0.5630113751806085,HC
HC b_12,20.72326583694641,20.72326583694641,2.039143852231076,0.1394230921795547,HC
HC b_13,20.72326583694641,20.72326583694641,1.1199116136349174,0.3949831847870903,HC
HC b_14,20.72326583694641,20.72326583694641,1.2315926446647807,0.3450674691877493,HC
HC b_15,20.72326583694641,20.72326583694641,1.688930158160134,0.204220028864883,HC
HC b_16,20.72326583694641,20.72326583694641,1.804844702697683,0.1797249297498005,HC
HC b_17,20.72326583694641,20.72326583694641,4.406719165264257,0.0122700915794688,HC
HC b_18,20.72326583694641,20.72326583694641,6.520620448558953,0.0014738386168256,HC
HC b_19,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,HC
HC b_2,20.72326583694641,20.72326583694641,1.3876360988963834,0.2872352236206567,HC
HC b_20,20.72326583694641,20.72326583694641,20.72326583694641,-1.000000082240371e-09,HC
HC b_3,20.72326583694641,20.72326583694641,1.2553080670414711,0.3354560053476895,HC
HC b_4,20.72326583694641,20.72326583694641,1.4322736604590796,0.272813730900779,HC
HC b_5,20.72326583694641,20.72326583694641,0.9727431064265424,0.4748868864219094,HC
HC b_6,20.72326583694641,20.72326583694641,0.9526454099253542,0.4873032647028866,HC
HC b_7,20.72326583694641,20.72326583694641,1.5923920402456186,0.2274508072563945,HC
HC b_8,20.72326583694641,20.72326583694641,1.4826803838529423,0.2575129024721598,HC
HC b_9,20.72326583694641,20.72326583694641,1.1417580320855945,0.3845708146221276,HC
HC c_1,20.72326583694641,5.887953810071734,3.202376800897258,0.0444097526615469,HC
HC c_10,20.72326583694641,5.839186768162471,6.532333605222593,0.0043763735954129,HC
HC c_11,20.72326583694641,6.495264893937286,1.713344852656932,0.2006147486191261,HC
HC c_12,20.72326583694641,5.320567770982888,3.615819846062617,0.0323009437554929,HC
HC c_13,20.72326583694641,5.8103918759645286,2.6219755785680814,0.078670365287169,HC
HC c_14,20.72326583694641,6.957813427522154,1.4661257149938802,0.2636650454047659,HC
HC c_15,20.72326583694641,20.72326583694641,4.373057885405411,0.0126928257856452,HC
HC c_16,20.72326583694641,20.72326583694641,2.890371739896166,0.0571584127811251,HC
HC c_2,20.72326583694641,6.564207364439215,1.7642938050709094,0.1896092377490507,HC
HC c_3,20.72326583694641,5.848964137625788,1.742197396570165,0.1960368026795751,HC
HC c_4,20.72326583694641,20.72326583694641,1.3607084886533491,0.2963582661457647,HC
HC c_5,20.72326583694641,6.347826370958612,1.7034360375742537,0.2031049700251881,HC
HC c_6,20.72326583694641,5.208270903085508,1.9983238843626725,0.1520252793507552,HC
HC c_7,20.72326583694641,20.72326583694641,1.5144326924698146,0.2483753592327741,HC
HC c_8,20.72326583694641,6.664833315726271,1.672136501326135,0.2096355354859021,HC
HC c_9,20.72326583694641,20.72326583694641,1.844317477730528,0.1721334856951162,HC
UC a_1,5.828945277610277,6.639875068826875,2.9572659734809137,0.0578506938741528,UC
