field_of_view,0,1,2,3
CD a_1,0.0,0.0015723270440251573,0.21776729559748428,0.7806603773584906
CD a_10,0.0,0.0007668711656441718,0.17484662576687116,0.8243865030674846
CD a_11,0.0,0.0010330578512396695,0.09142561983471074,0.9075413223140496
CD a_12,0.0,0.0,0.14712041884816754,0.8528795811518325
CD a_13,0.0,0.0,0.08415554265815438,0.9158444573418456
CD a_14,0.0,0.0,0.1956521739130435,0.8043478260869565
CD a_15,0.0,0.0007763975155279503,0.024844720496894408,0.9743788819875776
CD a_16,0.0,0.0029940119760479044,0.011976047904191617,0.9850299401197605
CD a_17,0.0,0.0034904013961605585,0.054682955206515414,0.941826643397324
CD a_18,0.0,0.0018359853121175031,0.05936352509179926,0.9388004895960832
CD a_19,0.0,0.0,0.44579858883899937,0.5542014111610006
CD a_2,0.0,0.045307443365695796,0.005393743257820928,0.9492988133764833
CD a_3,0.0,0.017543859649122806,0.005398110661268556,0.9770580296896086
CD a_4,0.0,0.0007964954201513341,0.27837514934289126,0.7208283552369574
CD a_5,0.0,0.05075690115761353,0.0026714158504007124,0.9465716829919858
CD a_6,0.0,0.013422818791946308,0.038350910834132314,0.9482262703739214
CD a_7,0.0,0.002182453077258839,0.20122217372326495,0.7965953731994763
CD a_8,0.0,0.0,0.28443230589153334,0.7155676941084667
CD a_9,0.0,0.0,0.11624026696329255,0.8837597330367074
CD b_10,0.0,0.0,0.0,1.0
CD b_11,0.0002498750624687656,0.0,0.052223888055972015,0.9475262368815592
CD b_12,0.0,0.0,0.008335262792313036,0.991664737207687
CD b_13,0.0,0.0,0.04591715976331361,0.9540828402366864
CD b_14,0.0002115506663845991,0.0,0.055637825259149565,0.9441506240744658
CD b_15,0.0005338078291814947,0.0,0.0199288256227758,0.9795373665480427
CD b_16,0.0,0.0,0.0,1.0
CD b_17,0.0008135041692088672,0.0002033760423022168,0.0004067520846044336,0.9985763677038845
CD b_18,0.0,0.0,0.0,1.0
CD b_19,0.0,0.0,0.0,1.0
CD b_2,0.0,0.0,0.0,1.0
CD b_20,0.0,0.0,0.0,1.0
CD b_3,0.00020429009193054137,0.0,0.00020429009193054137,0.999591419816139
CD b_4,0.0,0.0,0.00030339805825242716,0.9996966019417476
CD b_5,0.0003486750348675035,0.0,0.0,0.9996513249651325
CD b_6,0.0004492362982929021,0.0,0.0,0.9995507637017071
CD b_7,0.0,0.0,0.0,1.0
CD b_8,0.0,0.0,0.0,1.0
CD b_9,0.0,0.0,0.0,1.0
CD c_1,0.003522080736927662,0.0,0.014901110810078569,0.9815768084529938
CD c_10,0.006802721088435374,0.0,0.09394233884029803,0.8992549400712666
CD c_11,0.008710801393728223,0.0,0.10104529616724739,0.8902439024390244
CD c_12,0.007779074290159471,0.0,0.021781408012446518,0.970439517697394
CD c_13,0.016869095816464237,0.0,0.09626630679262259,0.8868645973909132
CD c_14,0.01770791882212495,0.0,0.07500994826900119,0.9072821329088738
CD c_15,0.0006131207847946045,0.0,0.12017167381974249,0.8792152053954629
CD c_17,0.0016963528413910093,0.0,0.016398077466779758,0.9819055696918292
CD c_2,0.0059219380888290716,0.0,0.02664872139973082,0.9674293405114401
CD c_3,0.00030807147258163895,0.0,0.022489217498459644,0.9772027110289587
CD c_4,0.006137658921525646,0.0,0.00789127575624726,0.9859710653222271
CD c_5,0.0009564801530368245,0.0,0.05404112864658058,0.9450023912003825
CD c_6,0.001472211998527788,0.0,0.1159366948840633,0.8825910931174089
CD c_7,0.002715751357875679,0.0,0.08992154496077248,0.9073627036813519
CD c_8,0.0015262515262515263,0.0,0.040903540903540904,0.9575702075702076
CD c_9,0.002131060202450719,0.0,0.03942461374533831,0.958444326052211
HC a_1,0.0,0.0,0.12050078247261346,0.8794992175273866
HC a_10,0.0,0.0,0.04972875226039783,0.9502712477396021
HC a_11,0.0,0.0,0.10078740157480315,0.8992125984251969
HC a_12,0.0,0.0,0.15047619047619049,0.8495238095238096
HC a_13,0.0,0.0,0.09844054580896686,0.9015594541910331
HC a_14,0.0,0.0,0.12881732370905052,0.8711826762909495
HC a_15,0.0,0.0,0.1279930343926861,0.8720069656073138
HC a_16,0.0,0.0,0.10887906789875453,0.8911209321012454
HC a_18,0.0,0.0,0.2319488817891374,0.7680511182108626
